Question,Answer (Use || as a separator),Field Type,Other (Questions having the other option text),,
Have you received any treatment for any substance abuse or dependence in the past? (mark all that apply),"Previous alcohol assessment||Education||Counseling||Intensive Outpatient Program||Inpatient Treatment||Residential Treatment||Have never received assessment, education or treatment of any kind",checkbox,,,
"Are you required to complete some alcohol education, counseling,  victim impact panel,  AA, or similar program regardless of the outcome of this assessment?  If yes, please note program type and total hours to complete.",,textarea, ,,
"If you were offered a breathalyzer, blood, or urine test to measure your blood alcohol concentration (BAC) what range was the official or final BAC result of your test ?", ,textarea,,,
"Since the incident leading to this assessment, has your alcohol use",remained the same||decreased||increased||have stopped drinking completely,radiobutton,,,
"If you have completely stopped drinking alcohol since the incident, how long do you plan to stop for ?","until all court, employer, school or other proceedings are completed||permanently||unsure||question does not apply, do not want or need to stop||a specific time period of",radiobutton,,,
If you have any current legal charges (other than the cause for this assessment) list them here or enter NA if there are none,,textarea,,,
"If you have any previous impaired driving charges (DUI or  OMVIs before the current incident) please provide the approximate date and BAC (blood alcohol concentration) that was reported for each one.  If no incidents then write ""none"". If no BAC please indicate ""refused"", ""not applicable"" etc.", ,textarea,,,
"Do you feel that you are a normal drinker?  (NORMAL means that you drink an amount similar to the amount most other people that you know drink. If you think you drink less than what most other people drink, this is also considered a normal drinker in the context of this question.)  ",Yes||No,radiobutton,,,
Have you ever awakened the morning after some drinking the night before and found that you could not remember a part of the evening? ,Yes||No,radiobutton,,,
Does any near relative or close friend ever worry or complain about your drinking? ,Yes||No,radiobutton,,,
Can you stop drinking without difficulty after one or two drinks?,Yes||No,radiobutton,,,
Do you ever feel guilty about your drinking? ,Yes||No,radiobutton,,,
Do friends or relatives think you are a normal drinker? ,Yes||No,radiobutton,,,
Are you able to stop drinking when you want to? ,Yes||No,radiobutton,,,
Have you ever attended a meeting of Alcoholics Anonymous (AA) by your own choice?,Yes||No,radiobutton,,,
Have you ever gotten into physical fights when drinking ?,Yes||No,radiobutton,,,
"Has drinking ever created problems between you and and your wife, husband, parent, or other relative ?",Yes||No,radiobutton,,,
"Has your wife, husband (or other family member) ever gone to anyone for help about your drinking? ",Yes||No,radiobutton,,,
Have you ever lost friends because of your drinking? ,Yes||No,radiobutton,,,
Have you ever gotten into trouble at work or school because of drinking? ,Yes||No,radiobutton,,,
Have you ever lost a job because of drinking ? ,Yes||No,radiobutton,,,
"Have you ever neglected your obligations, your family, or your work for two or more days in a row because you were drinking? ",Yes||No,radiobutton,,,
Do you frequently or regularly drink before noon? ,Yes||No,radiobutton,,,
"Have you ever been told you have liver problems, such as cirrhosis?",Yes||No,radiobutton,,,
"After heavy drinking have you ever had severe shaking (DTs), visual hallucinations, heard voices or seen things that really are not there?",Yes||No,radiobutton,,,
Have you ever gone to anyone for help about your drinking?,Yes||No,radiobutton,,,
Have you ever been in a hospital because of drinking?,Yes||No,radiobutton,,,
Has your drinking ever resulted in your being hospitalized in a psychiatric facility?,Yes||No,radiobutton,,,
"Have you ever sought the help of a doctor, social worker, clergy, or mental health clinic for help with any emotional problem in which drinking was part of the problem?",Yes||No,radiobutton,,,
Have you been arrested for driving under the influence of alcohol?,"Yes||No||If yes, how many times",radiobutton,"If yes, how many times",,
"Have you ever been arrested, even for a few hours, because of  an alcohol related incident other than driving under the influence (e.g. public intox., disorderly conduct, domestic violence, etc.)?","Yes||No||If yes, how many times",radiobutton,"If yes, how many times",,
How often do you have a drink containing alcohol ?,Never||Monthly or less||2-4 times a month||2-3 times a week||4 or more times a week,radiobutton,,,
How many drinks containing alcohol do you have on a typical day when you drink?,1 or 2||3 or 4 ||5 or 6||6 to 9 ||10 or more,radiobutton,,,
How often do you have six or more drinks on one occasion ?,Never||Less than monthly||Monthly||Weekly||Daily or almost daily,radiobutton,,,
How often during the last year have you found that you were not able to stop drinking once you had started ?,Never||Less than monthly||Monthly||Weekly||Daily or almost daily,radiobutton,,,
How often during the last year have you failed to do what was normally expected of you because of drinking ?,Never||Less than monthly||Monthly||Weekly||Daily or almost daily,radiobutton,,,
How often during the last year have you needed a first drink in the morning to get yourself going after heavy drinking the night before ?,Never||Less than monthly||Monthly||Weekly||Daily or almost daily,radiobutton,,,
How often during the last year have you had a feeling of guilt or remorse after drinking ?,Never||Less than monthly||Monthly||Weekly||Daily or almost daily,radiobutton,,,
How often during the last year have you been unable to remember what happened the night before because of your drinking ?,Never||Less than monthly||Monthly||Weekly||Daily or almost daily,radiobutton,,,
Have you or someone else been injured because of your drinking ? ,"No||Yes, but not in the last year||Yes, during the last year",radiobutton,,,
"Has a relative, friend, doctor, or other health care worker been concerned about your drinking or suggested you to cut down ?","No||Yes, but not in the last year||Yes, during the last year",radiobutton,,,
"To expedite completion of your report, please indicate name and address of your attorney, probation officer, employer, or whomever will receive your report if you choose to release it to them. If you do not know the address please provide their name, city and state.",,textarea, ,,
